Clause,Topic
"7.2.28	Share Capital.
The Borrower shall not register any transfer of Shares, if any such transfer of Shares contravenes any provision of the Transaction Documents.",Informative
"7.2.29	Prepayment
The Borrower shall not prepay any subordinated loans or any other loan availed by it for the Project without the prior written approval of the Rupee Lenders, which approval may be granted subject to such conditions as may be stipulated by the Rupee Lenders. 
",Informative
"Revaluation of Assets 
The Borrower shall not revalue its assets at any time during the currency of the Rupee Loans.",Informative
"Change of Name or Registered Office
The Borrower shall not change its name or the location of its registered office without giving prior written information thereof to the Rupee Lenders.",Informative
"	Acquiring Assets
The Borrower shall not acquire all or part of the assets of any other person or any class of shares or debentures or partnership interest or similar interest of any person except to the extent permitted under the Financing Documents.",Informative
"Restriction against Disposal of Shares and Change of Management
The Borrower shall not recognise or register any transfer of such shares as would result in “Change in Ownership” as set out in the Concession Agreement, unless such “Change in Ownership” has been previously approved by NHAI.",Informative
"Opening of Other Bank Account.
The Borrower shall not open any other bank account without specific prior written approval of the Lenders’ Agent and shall not operate such other bank account for any purpose other than the purpose approved by the Lenders’ Agent.",Informative
"Shareholders Agreement
The Borrower shall not enter into the Shareholders’ Agreement or any other similar agreement (and other than those that have been disclosed in writing to the Rupee Lenders) without the prior written consent of the Rupee Lenders",Informative
"8.1	ANNUAL BUDGET 
8.1.1	The Borrower shall, in conformity with Maintenance Programme, deliver to the Lenders’ Agent and/or the Rupee Lenders for its approval (i) the Construction Budget and (ii) the Annual Budget for each operating year (together with a report indicating any deviations from the Annual Budget for the previous year and the projections in the Banking Base Case for such year), in each case as soon as available, but not later than thirty (30) days prior to the commencement of the COD and thereafter not later than thirty (30) days prior to the commencement of each Financial Year.  The annual operation budget (the “Annual Budget”) shall include the Operations Budget, the Major Maintenance Budget, budgeted statements of income and sources thereof, use of each and balance sheets, fair and accurate projections for the operation and maintenance of the Project for the given operating year, including the Major Repairs Expenses contemplated to be incurred for carrying out major repairs during such operating year pursuant to the long term Major Maintenance Plan and shall be prepared by the Borrower and be approved by the Lenders’ Independent Engineer and be accompanied by a statement of the chief financial officer or other Authorised Officer of the Borrower to the effect that the budget is a reasonable estimate for the period covered thereby and is in compliance with the requirements of this Clause 8.1.1. Each Annual Budget shall contain fair and accurately denominated estimates (in Rupees) of Project revenues, Operation and Maintenance Expenses and projected working capital requirements for each calendar Month covered by such Annual Budget based on the Borrower’s fair and accurate projections at such time which shall be based on all facts and circumstances then existing and known to the Borrower and which reflect the Borrower’s best estimate of the future results of the Borrower and which are consistent with the Annual Budget and budget for the Major Repairs Expenses. Each Annual Budget shall be prepared in good faith on the basis of written assumptions stated therein which the borrower believes to be reasonable as to all factual and legal matters material to such estimates.
8.1.2	The Annual Budget from year to year shall be based on the same format and be maintained on the same basis and shall provide sufficient detail to permit a meaningful comparison to previous years.
8.1.3	An Annual Budget shall become effective on the first day of the relevant operating year unless disapproved prior to such date by the Lenders’ Agent. If the Lenders’ Agent does not inform the Borrower of its non-approval of a submitted Annual Budget within fifteen (15) days after submission thereof to the Lenders’ Agent, such Annual Budget shall be deemed to be approved by the Lenders’ Agent.  If the Lenders’ Agent does not approve an Annual Budget, the Lenders’ Agent shall advise the Borrower of the terms which are disapproved and the reason for such disapproval
8.1.4	If all or any portion of an Annual Budget is disapproved prior to the first day of the relevant operating year (beginning from the second operating year), the Borrower shall adhere to all approved aspects of such Annual Budget. With respect to those aspects of any Annual Budget which are not approved (other than with respect to Major Repairs Expenses), the Annual Budget for the preceding operating year shall be made applicable thereto (and shall for all purposes hereof be deemed to be part of the approved Annual Budget for such operating year) until such time as such aspects of the Annual Budget have been approved by the Lenders’ Agent in consultation with the Lenders’ Independent Engineer. Provided that, if any Major Repairs Expenses proposed as part of an Annual Budget for any operating year are disapproved, no Major Repairs Expenses shall be available during such operating year until such time as such expenses have been approved by the Lenders’ Agent.
8.1.5	After the approval of the Annual Budget in accordance with the Concession Agreement, in case of any discrepancy between the Annual Budget approved by the Lenders’ Agent and under the Concession Agreement the Borrower shall immediately thereafter, and, in any case, not later than seven (7) Business Days of approval under the Concession Agreement, bring the discrepancy to the notice of the Lenders’ Agent who shall advise the Borrower to carry out necessary corrective measures.
8.1.6	The Borrower shall inform the Rupee Lenders of the proposals, if any, for revision in the budgeted estimates in the Construction Budget for any quarter other than the first quarter comprised in the relevant budgeted year and the reasons therefore together with supporting documents including certification by Lenders’ Independent Engineer, at least fifteen (15) days prior to the commencement of the relevant quarter. If the Rupee Lenders do not offer any comments within ten (10) Business Days from the date of delivery by the Borrower, the revised estimates shall be deemed to have been approved by the Rupee Lenders. The Operations Budget submitted by the Borrower may be revised in exigencies with the consent and approval of the Lenders’ Agent at any time during the budgeted Financial Year.",Financial
"8.1	ANNUAL BUDGET 
8.1.1	The Borrower shall, in conformity with Maintenance Programme, deliver to the Lenders’ Agent and/or the Rupee Lenders for its approval (i) the Construction Budget and (ii) the Annual Budget for each operating year (together with a report indicating any deviations from the Annual Budget for the previous year and the projections in the Banking Base Case for such year), in each case as soon as available, but not later than thirty (30) days prior to the commencement of the COD and thereafter not later than thirty (30) days prior to the commencement of each Financial Year.  The annual operation budget (the “Annual Budget”) shall include the Operations Budget, the Major Maintenance Budget, budgeted statements of income and sources thereof, use of each and balance sheets, fair and accurate projections for the operation and maintenance of the Project for the given operating year, including the Major Repairs Expenses contemplated to be incurred for carrying out major repairs during such operating year pursuant to the long term Major Maintenance Plan and shall be prepared by the Borrower and be approved by the Lenders’ Independent Engineer and be accompanied by a statement of the chief financial officer or other Authorised Officer of the Borrower to the effect that the budget is a reasonable estimate for the period covered thereby and is in compliance with the requirements of this Clause 8.1.1. Each Annual Budget shall contain fair and accurately denominated estimates (in Rupees) of Project revenues, Operation and Maintenance Expenses and projected working capital requirements for each calendar Month covered by such Annual Budget based on the Borrower’s fair and accurate projections at such time which shall be based on all facts and circumstances then existing and known to the Borrower and which reflect the Borrower’s best estimate of the future results of the Borrower and which are consistent with the Annual Budget and budget for the Major Repairs Expenses. Each Annual Budget shall be prepared in good faith on the basis of written assumptions stated therein which the borrower believes to be reasonable as to all factual and legal matters material to such estimates.
8.1.2	The Annual Budget from year to year shall be based on the same format and be maintained on the same basis and shall provide sufficient detail to permit a meaningful comparison to previous years.
8.1.3	An Annual Budget shall become effective on the first day of the relevant operating year unless disapproved prior to such date by the Lenders’ Agent. If the Lenders’ Agent does not inform the Borrower of its non-approval of a submitted Annual Budget within fifteen (15) days after submission thereof to the Lenders’ Agent, such Annual Budget shall be deemed to be approved by the Lenders’ Agent.  If the Lenders’ Agent does not approve an Annual Budget, the Lenders’ Agent shall advise the Borrower of the terms which are disapproved and the reason for such disapproval
8.1.4	If all or any portion of an Annual Budget is disapproved prior to the first day of the relevant operating year (beginning from the second operating year), the Borrower shall adhere to all approved aspects of such Annual Budget. With respect to those aspects of any Annual Budget which are not approved (other than with respect to Major Repairs Expenses), the Annual Budget for the preceding operating year shall be made applicable thereto (and shall for all purposes hereof be deemed to be part of the approved Annual Budget for such operating year) until such time as such aspects of the Annual Budget have been approved by the Lenders’ Agent in consultation with the Lenders’ Independent Engineer. Provided that, if any Major Repairs Expenses proposed as part of an Annual Budget for any operating year are disapproved, no Major Repairs Expenses shall be available during such operating year until such time as such expenses have been approved by the Lenders’ Agent.
8.1.5	After the approval of the Annual Budget in accordance with the Concession Agreement, in case of any discrepancy between the Annual Budget approved by the Lenders’ Agent and under the Concession Agreement the Borrower shall immediately thereafter, and, in any case, not later than seven (7) Business Days of approval under the Concession Agreement, bring the discrepancy to the notice of the Lenders’ Agent who shall advise the Borrower to carry out necessary corrective measures.
8.1.6	The Borrower shall inform the Rupee Lenders of the proposals, if any, for revision in the budgeted estimates in the Construction Budget for any quarter other than the first quarter comprised in the relevant budgeted year and the reasons therefore together with supporting documents including certification by Lenders’ Independent Engineer, at least fifteen (15) days prior to the commencement of the relevant quarter. If the Rupee Lenders do not offer any comments within ten (10) Business Days from the date of delivery by the Borrower, the revised estimates shall be deemed to have been approved by the Rupee Lenders. The Operations Budget submitted by the Borrower may be revised in exigencies with the consent and approval of the Lenders’ Agent at any time during the budgeted Financial Year.",Financial
"8.2	MAJOR MAINTENANCE PLAN
8.2.1	The long term major maintenance plan shall set forth the details of all major maintenance proposed to be performed by the Borrower with respect to the Project during the upcoming years specifying the nature, timing, cost, funding and scope of all such proposed maintenance and its envisioned effect on Project operations (the “Major Maintenance Plan”).
8.2.2	The Major Maintenance Plan shall be consistent with the Maintenance Programme agreed (or otherwise applicable) between NHAI and the Borrower for the operating year pursuant to the Concession Agreement.
8.2.3	If the Lenders’ Agent or the Lenders’ Independent Engineer disapproves the Annual Budget or the Major Maintenance Plan, the Lenders’ Agent shall advise the Borrower of the items which are disapproved and the reason for such disapproval. The Borrower shall ensure that each Annual Budget and Major Maintenance Plan required to be provided by Clause 8.1.1 (Annual Budget), as the case may be shall be consistent with the related Annual Budget and Major Maintenance Plan adopted under the Concession Agreement and O&M Contract.",Financial
"Cross-Default and Cross-Acceleration
(i) 	The Borrower defaults in making payment when due in respect of any other indebtedness of the Borrower after written notice has been given to the Borrower by the creditor or any event of default by the Borrower has occurred and is continuing under any agreement to which the Borrower is a party after occurrence thereof or any other creditor has accelerated repayment of its financial assistance and such default has not been remedied to the satisfaction of the Rupee Lenders within seven (7) days of the date of occurrence of such default. Provided that, no Event of Default will occur under this clause 10.1.6(i) (Cross Default and Cross-Acceleration) if the Borrower demonstrates to the satisfaction of the Lenders’ Agent (acting on the instructions of the Rupee Lenders) that such acceleration or potential acceleration is related to payments to be made by the Borrower to its contractors and is the subject of a dispute being Contested in Good Faith.
(ii)	Any person other than the Rupee Lender accelerating repayment (i.e. demanding repayment ahead of the previously agreed Repayment Schedule) due from the Borrower to such other person under the Borrower's credit, borrowing or any other arrangement with that person.
(iii)	Default has been committed by the Borrower in payment of any amount or compliance of any condition under any Project Document, which constitutes a default, which would entitle any other party thereto to terminate the same, unless the Rupee Lenders are satisfied as to the alternate arrangements made by the Borrower in relation to the matters to be performed under such Project Document and such default has not been remedied to the satisfaction of the Rupee Lenders within seven (7) days of the date of occurrence of such default. ",Financial
"Inadequacy of Insurance
The Borrower fails to maintain insurance cover over its properties and assets in accordance with the Transaction Documents and Schedule V and to the extent suggested by the Lenders’ Insurance Advisor and such default has not been remedied to the satisfaction of the Rupee Lenders within twenty one (21) days of the date of occurrence of such default. ",Informative
"(i)	The Borrower has adopted all the necessary resolutions, including but not limited to Board / shareholder resolutions for approving the terms of the Loan and Transaction Documents, authorizing its officers to execute, sign and dispatch all notices/ communications, increase the Borrower’s authorised share capital and borrowings, etc. ",Informative
"(ii)	The Borrower has furnished to the Lender certified copies of all authorization, approval or consent necessary in connection with the performance, validity, enforceability and admissibility of the Transaction Documents.",Informative
"The Borrower has provided (i) copies of the constitutional documents of the Borrower and its Promoters, shareholders’ agreement (if any), duly amended, reflecting the necessary conditions for the purpose of this Loan; (ii) evidence of the corporate power, authority and required corporate action to enter into, and signature authority of the persons executing the Finance Documents and Project Documents on behalf of the Borrower and Promoters; and (iii) evidence that the authorised share capital of the Borrower as it stands is sufficient to raise the Equity Contribution. 
",Informative
"The Borrower has available with it the borrowing power under it’s Memorandum of Association and Articles of Association. The Borrower has furnished certificate signed by its duly authorized signatory, in a form and manner satisfactory to the Lender, to the effect that no provision contained in any document by which the Borrower is bound, or any law, rule or regulation, directly or indirectly, shall restrict the Borrower’s borrowing power or authority or ability to borrow the Loans and confirming that the borrowing under the Finance Documents in full shall not cause any borrowing limit binding on the Borrower to be exceeded. 
",Informative
The Lender has appointed a law firm as “Lenders Legal counsel” for resolving all legal issues and the firm is of credentials with such scope of work satisfactory to the Lender. ,Informative
The Borrower has tied up the entire means of finance for the Project to the satisfaction of the Lender and in conformity with the requirements of the Transaction Documents. ,Financial
The Borrower confirms that there is no Event of Default which has happened and has not been cured or waived in accordance with the terms of the existing finance agreements and that all representations and warranties made by the Borrower or any of the project parties are true and correct.,Financial
"The Lender shall have received the Notice of Drawal substantially in the FORM No. 1 set out in SCHEDULE VIII hereto and the Borrower shall have confirmed that the drawdown complies with the agreed Construction Budget. 
",Informative
No Event of Default and no events which with the lapse of time or notice and lapse of time as specified in Section 7.1 would become an Event of Default shall have occurred and be continuing and the representations and warranties made or deemed to be made pursuant to ARTICLE IV herein or under other Finance Documents shall be true and correct both before and immediately after the proposed Disbursement is made.,Informative
"The Borrower shall confirm that no event exists that is likely to have a materially adverse effect on the Borrower’s operations, validity or enforceability of the Security created.",Informative
"The Borrower shall confirm that no event exists that is likely to have a materially adverse effect on the Borrower’s operations, validity or enforceability of the Security created.",Security
The Borrower shall have provided a certificate by practicing Chartered Accountant to the effect that 20% of the total Equity Contribution is subscribed and fully paid up ,Informative
"The Borrower shall have provided evidence that it has entered into Escrow Agreement and that the Escrow Account has been established and the operational details of Retention Accounts have been fully finalized in the Memorandum of Operating Procedure. The Borrower has also provided evidence that it has opened the Retention Accounts.
",Legal
"The Borrower shall have entered into a fixed time, fixed price lump-sum turnkey basis EPC Contract and other Project Documents, with provision for liquidated damages where required, which is in form and substance satisfactory to the Lenders Agent and a copy each thereof and the notices to proceed issued thereunder have been provided to the Lenders Agent. ",Technical
"The Borrower shall have provided evidence of the fulfillment or provided its waiver by all the contracting parties of all the conditions precedent in the Concession Agreement, EPC Contract, Escrow Agreement, Substitution Agreement, the Finance Documents and any other contracts and such other agreements as may be deemed essential by the Lenders.",Informative
"(2)	Loan Agreement
This Loan Agreement in a form acceptable to the Lender shall have been duly executed by the Borrower.",Legal
"(3)	Guarantee/Undertaking from R Infra
A duly signed and executed Guarantee/Undertaking from R Infra in form and manner acceptable to the Lender.",Legal
"(4)	Statutory Approvals & Authorizations
The Borrower shall have provided evidence to the effect that it has procured all material clearances, authorizations, permits, approvals and clearances as required for commencement of construction of the Project by it. ",Informative
"(5)	The Borrower shall have submitted all such other documents and information as may be required by the Lender in connection with the legal and financial due diligence of the Borrower.
",Informative
"The tripartite Substitution Agreement envisaged under the Concession Agreement among NHAI, the Lenders Agent and the Borrower shall have been duly executed and delivered to the satisfaction of the Lender.",Legal
"i)	The Borrower shall have appointed an auditing firm as Statutory Auditor to verify the adequacy of accounting and monitoring systems/ procedures and to carryout periodical audit of the accounts. ",Informative
"ii)	The Borrower shall have appointed a practicing Chartered Accountant for providing certificate regarding the expenditure incurred and its source of financing in accordance with the Construction Budget before each Disbursement.",Financial
"Such other statements, certificates, opinions, documents and information with respect to the Project or any other matters contemplated by this Agreement and as the Lenders may reasonably request, shall have been obtained, executed or delivered.",Informative
"NHAI shall be a co-insured in all insurance policies obtained/to be obtained by the Borrower and the Borrower shall have provided evidence to the effect that it has finalised the insurance package (including reinsurance, if any) to the satisfaction of the Lenders. The Borrower shall have provided copies of all insurances policies for appropriate endorsements, certifications or other necessary evidence of insurance to the satisfaction of the Lenders at its own cost. The name of the Escrow Agent shall be endorsed on all insurance policies as loss payee. ",Informative
The Borrower shall have provided a Budget for the Project and Project implementation schedule   ,Financial
The Lenders shall have been satisfied that there exists no litigation in India or in any other jurisdiction regarding the effectiveness or validity of any of the Transaction Documents to which the Borrower is a party. ,Informative
"The Lenders’ Agent shall have been satisfied that the Borrower has complied with or fulfilled all the pre commitment conditions or other conditions the compliance / fulfillment of which had been waived or deferred by the Lender, if any, at the time of / for the purpose of making Initial Disbursement. 
",Informative
"The Borrower shall have submitted to the Lenders Agent that the physical progress of the Project and the expenditure incurred thus far are in accordance with the Project implementation schedule and expenditure forecasts.
",Financial
"The Borrower shall have constituted a Project management team consisting of professionals from the technical and financial streams to the satisfaction of the Lender for the purpose of supervising and monitoring the progress in the implementation of the Project. Such a team shall be responsible for the management of the Project during Construction Period including civil tendering, placement of orders for supply of plant and machinery and other assets and monitoring of the implementation of the Project.",Technical
The Borrower shall have agreed to establish to the satisfaction of the Lenders Agent of the availability of the expertise with it or its firm plans for procuring the expertise for handling operating and maintaining the Project Road.,Informative
The Borrower shall have procured and submitted undertakings stipulated in Section 2.21 of this Agreement in a manner satisfactory to the Lender.,Legal
"(i)	The Borrower shall have obtained all clearances and all other governmental, corporate, creditors, shareholders and other approvals, licenses, consents necessary for implementation & development of the Project as are required upto that stage and are found satisfactory and are in full force and effect.",Informative
"(ii)	The Borrower has provided copies of the certificate of incorporation and constitutional documents of the Borrower, suitably amended, as required by the Lender.
",Informative
"(iii)	The Borrower shall, to the satisfaction of the Lender, provide evidence of the corporate power, authority and required corporate action to enter into, and signing authority of the persons executing the Finance Documents and Project Documents on behalf of the Borrower and Promoters, as the case may be, including but not limited to that required for borrowings and creation of Security.",Security
"The Borrower has amended its Memorandum of Association and Articles of Association as necessary to give effect to the provisions contained in this Agreement, other Finance Documents and Project Documents. 
",Informative
"The Borrower shall have provided to the Lender, the Lenders Legal Counsel’s legal opinion in respect of the valid execution and stamping of the Finance Documents.",Legal
"i)	The Borrower shall undertake to submit to the Lender, certificate from the Borrower’s Chartered Accountants for application of funds to the satisfaction of the Lender within thirty (30) days from the Initial Disbursement Date.",Financial
"ii)	The Borrower shall have procured and submitted certificate from a practicing Chartered Accountant regarding the utilization of earlier Disbursements in accordance with the Construction Budget before each Disbursement.",Financial
The Borrower has not committed breach of any representation or warranty. All the representations and warranties contained in ARTICLE IV of this Agreement are correct on and as of the relevant Borrowing Date. ,Informative
"No event has occurred and is continuing, or would result from the proposed Disbursement or from the application of the proceeds therefrom, that constitutes a Default or an Event of Default.",Informative
"The Borrower has appointed the Security Trustee and has created the Security as envisaged in ARTICLE III of this Agreement. The Borrower confirms that all Security as stipulated under this Agreement has been registered and perfected as per the Applicable Law within the time period allowed, save and except where extension of  time has been granted by the Lender, for creation and perfection of Security and the same has been certified by the Lenders Legal Counsel.",Security
"The Borrower shall have submitted/ delivered to the Lender the following documentation, save and except where extension of time has been provided for under this Agreement or granted by the Lender:  (i)	Finance Documents
	All the Finance Documents and Security Documents in a form acceptable to the Lender shall have been duly executed and/delivered by the Borrower and/or the Promoters as the case may be, unless the Borrower has been given time for such documentation as per this Agreement.",Informative
"(ii)	Corporate actions and other documentation
In addition to complying with all formalities, taking all corporate actions and approvals as stipulated under sub-sections a) & c) of Section 5.2 above; the Borrower shall have obtained all Government Approvals, material clearances, authorizations, permits consent from its creditors (if any), other such necessary corporate actions as may be required for commencement of construction of the Project.. ",Informative
"(iii)	Final Facility Letter
The Borrower shall have submitted to the Lender the Final Facility Letter, duly signed and initialed on each page by the Borrower’s authorized signatories
",Legal
"(iv)	Other Documents
The Borrower shall have submitted all such other documents and information as may be required by the Lender in connection with the legal and financial due diligence of the Borrower.",Informative
"The Borrower shall confirm that no event exists that is likely to have a materially adverse effect on the Borrower’s operations, validity or enforceability of the Security created.",Informative
"The Borrower shall, to the satisfaction of the Lender:
(i)	ensure that the drawdown complies with the agreed Construction Budget and Drawdown Schedule;
",Informative
"The Borrower shall, to the satisfaction of the Lender:

(ii)	Confirm having obtained all statutory approvals, permit and clearances required for the Project up to that stage.
",Informative
"The Borrower shall promptly notify the Lenders Agent of any proposed change in the nature or scope of the Project and of any event or condition, which might materially and adversely affect the Project or result in substantial overrun in the original estimate of the Project Cost. Any such proposed change in the nature or scope of the Project shall not be implemented and no funds shall be committed therefore without the prior approval of the Lenders. 
",Financial
"The Borrower shall have the right to modify the Project Documents in its discretion; provided that the Borrower shall intimate the Lender within seven (7) Business days of any such change or termination. 
",Informative
"The Borrower shall promptly inform the Lender of the circumstances and conditions which are likely to disable the Borrower from imple¬menting the Project or which are likely to delay its completion or compel the Borrower to Abandon the same. 
",Informative
"The Borrower shall permit representatives of the Lender (at the expense of the Borrower including travel costs and expenses) to visit with prior notice and inspect its offices, properties and the Project to carry out technical, financial and legal inspections; to examine the Borrower’s books of records, account and documents; to make copies therefrom; and to discuss the Borrower’s affairs, finances and accounts with the Borrower’s principal officers, engineers and auditors (and by this provision the Borrower authorises such auditors to discuss its affairs, finances and accounts), at all times during the currency of the Loans as such representative may desire. The Borrower shall at all times cause a complete set of the original Project plans and Project specifications and drawings (and all supplements thereto) to be maintained and available for inspection by such representatives. 
",Informative
"The Borrower shall preserve and maintain its legal existence as a company engaged only in the implementation of the Project and activities related and incidental thereto, and shall maintain the Government Approvals and other rights, franchises, privileges and consents necessary for the maintenance of its existence and the conduct of its affairs. The Borrower shall maintain proper books of record in accordance with GAAP as are necessary to truly, accurately and fairly reflect the financial condition and results of operations of the Borrower and copies of all Project Documents and all records relating to the Secured Property.",Informative
"The Borrower shall comply in all respects with all present and future Applicable Laws (including environmental laws) in relation to the conduct of its business and the development, operation and ownership of the Project and keep all its properties in its business in good working order and condition, and maintain all its rights, privileges and franchises that are necessary or desirable for the orderly and efficient conduct of its business, and shall conduct its business in an orderly, efficient and regular manner.
(b)	The Borrower shall obtain, comply with the terms of and do all that is necessary to maintain in full force and effect the Concession Agreement, all Government Approvals (including those as shall hereafter be required under Applicable Laws) and any approval required to be obtained in connection with (i) the acquisition and the operation and maintenance of the Project as contemplated by the Project Documents, (ii) the raising of share capital and issue of shares, (iii) the ownership, construction and operation of the Project or any facilities or services ancillary thereto, (iv) the execution, delivery and performance by the Borrower of any of the Finance Documents or the Project Documents to which it is a party",Informative
" (v) creation of the Security under the Security Documents and for the validity and enforceability and the perfection and ranking thereof (as contemplated therein or herein) and for the exercise by the Security Trustee/ Lenders of their rights and remedies thereunder, and (vi) the admissibility as evidence in India of the Project Documents and the Finance Documents.",Security
The Borrower shall at all times obtain and maintain at its own expense the insurance as per good industry practice. The Borrower shall keep its present and future properties and business insured with financially sound and reputable insurers in each case. ,Informative
The Borrower shall maintain and ensure maintenance of the insurance coverage required under the terms of each of the Project Documents.,Informative
"If the Borrower fails to obtain or maintain the full insurance, the Lenders upon 10 days prior notice (unless such insurance coverage would lapse within such period, in which event notice should be given as soon as reasonably possible or need not be given at all if the time for the lapse of coverage does not permit it) to the Borrower of any such failure, may (but shall not be obligated to) take out the required policies of insurance and pay the premiums for the same. All amounts so advanced therefor by the Lenders shall be reimbursed by the Borrower and the Borrower shall pay such amounts to the Lenders. ",Informative
"Without the prior approval of the Lenders, which approval not to be unreasonably withheld or delayed, the Borrower shall not make any compromise, adjustment or settlement in connection with any loss or any other event entitling the Borrower to claim under any policy or policies of insurance and shall not do, or omit to do or permit to be done or not done any other thing that might prejudice any right to claim or recover under any such policy or policies. The Borrower shall promptly notify the relevant insurer of any claim by the Borrower under each policy written by that insurer and shall diligently pursue that claim.",Informative
"The Borrower shall promptly notify the Lenders Agent of any loss or other event entitling the Borrower to make a claim under any one or more insurance policies. The Borrower shall promptly notify the Lenders Agent of each written notice received by it with respect to the cancellation of, adverse change in, or default under, any insurance policy required to be maintained in accordance with this Section 6.1 (vii). The Borrower shall not vary, rescind, terminate or cancel any insurance policy.",Informative
"The Borrower shall provide written instructions to all insurers to pay and deposit any and all insurance proceeds and payments directly into the Escrow Account. 
",Informative
"	The Borrower shall pay and discharge all taxes imposed on it or on its income or profits or on any of its property and all taxes that it has agreed to pay pursuant to any Project Document and all lawful claims relating thereto prior to the date on which penalties attach thereto, and shall file all returns relating thereto, except to the extent that any such tax is subject to a contest in good faith unless such contest would result in a breach of a Finance Document or a Project Document.
",Financial
"(a)	The Borrower shall maintain, preserve and operate the Project and all of its other properties necessary in the proper conduct of its business in good working order and condition, ordinary wear and tear excepted, and in accordance with prudent operating practices and its business plan and replace or maintain the equipment or any of its material property, or any part thereof now or hereafter damaged or destroyed by any event (whether or not insured against or insurable) except any such property that the Borrower determines in good faith not to be necessary or desirable to conduct its business with the prior written approval of the Lenders.",Informative
"(b)	Without limiting the generality of the preceding clause (a), the Borrower will cause the construction of the Project to be completed with due diligence and continuity (except for interruptions due to events of Force Majeure as defined in the Concession Agreement, which the Borrower will use commercially reasonable efforts to mitigate) in a good and work man like manner and in accordance with sound and generally accepted building and construction practices, Applicable Laws to the Project and the Project site, the construction contracts, Construction Budgets, the construction schedules and other guidelines. The payments shall be made to the contractor/s in accordance with the procedure set forth in the Escrow Agreement. ",Informative
"The Borrower shall take or cause to be taken all action required to maintain and preserve the Security under the Security Documents and the first ranking priority thereof, and shall ensure at all times that the claims of the Lenders rank pari passu inter se. The Borrower shall from time to time execute or cause to be executed any and all further instruments and register and record such instruments in all public and other offices in order to create and maintain valid, perfected and enforceable Security of first priority and ranking over the Secured Property pursuant to the Security Documents.",Security
"The Borrower shall take, or cause to be taken, all action necessary to cause the Project Documents and the renewal or replacement agreements and each other Additional Project Document to be or become part of the Security under the Security Documents (whether by amendment to the Security Documents or otherwise). The Borrower shall use its reasonable endeavors to cause each person (other than itself) party to each Additional Project Document entered into by the Borrower to execute and deliver to the Lenders a consent to such  Lenders Interest in writing, which consent shall be in form reasonably acceptable to the Lenders.",Security
The Borrower shall perform and observe in all material respects all of its covenants and agreements contained in any of the Project Documents to which it is a party; take all reasonable and necessary action to prevent the termination of any such Project Document in accordance with the terms thereof; and enforce each material covenant or material obligation of each such Project Document in accordance with its terms.,Informative
"Following the occurrence and during the continuance of an Event of Default, the Borrower shall make best efforts to see that Promoters and other shareholder/s of the Borrower and the other parties to each Project Document assigned to the Lenders  make any payments due and payable by such persons under such Project Documents to the Lenders, subject to pari- passu arrangement amongst the Lenders.",Financial
"The Borrower shall use the proceeds of the Loans and the Project Equity Capital solely to meet:
		(i)	Project Costs;
(ii) 	Fees and other amounts payable under the Finance Documents; and
(iii) 	Any other costs incidental to the Project and genuinely incurred and are to be capitalized under the Project Costs. 
",Financial
"The Borrower shall take all actions necessary to maintain the Borrower’s good and marketable title / interest to the Secured Property and to the Project Documents free and clear of all charges, liens and other security interests other than the interests created in favour of or with the consent of the Security Trustee/ Lenders under the Security Documents.
",Legal
"The Borrower shall execute and deliver, from time to time as reasonably requested by the Lenders at the Borrower’s expense, such other documents as shall be necessary or that the Lenders may reasonably request in connection with the rights and remedies of the Lenders granted or provided for by the Finance Documents, and to consummate the transactions contemplated therein. ",Informative
"The Borrower will do everything necessary in the reasonable judgment of the Lenders to (i) create and perfect the Security with respect to future assets (including, without limitation, any further registration of any of the Security Documents in accordance with the requirements of Indian law), (ii) maintain the Security or trusts created by the Security Documents in full force and effect at all times (including the priority thereof), and (iii) preserve and protect the Security and protect and enforce its rights and title, and the rights and title of the Lenders to the Security or trusts created by the Security Documents. Furthermore, the Borrower shall cause to be delivered to the Lenders such opinions of counsel and other related documents as may be reasonably requested by the Lenders in connection with this Section 6.1  (xiii).",Security
"If the Borrower shall open other accounts with approval of the Lender, in addition to the Escrow Account and the Retention Accounts, it shall execute and deliver such additional or modified documents as required by the Lender to perfect the Security of the Lender over the additional or replaced accounts.",Security
"Without limiting the foregoing, the Borrower will cooperate and do everything reasonably necessary to assist the Lenders obtaining any approvals that are, in the opinion of the Lenders necessary to be obtained by them in connection with the transactions contemplated hereby and by the Security Documents.",Security
The physical progress of the Project as well as expenditure incurred on the Project shall be as per the original schedules approved by the Lenders or as may be modified with the concurrence of the Lenders. The Borrower shall complete the Project in accordance with the Project implementation schedule approved by the Lenders. ,Financial
"The Borrower shall enter into working capital funding arrangements which shall be in form and substance satisfactory to the Lenders, if and when necessary.
",Financial
"The Borrower shall provide the Lenders a copy of each Additional Project Document promptly after the execution thereof certified by an authorised officer of the Borrower as being true, correct and complete and in full force and effect.",Informative
"(a)	The Borrower shall establish arrangements for its accounting and management information and cost control systems to the satisfaction of the Lenders.
(b)	The Borrower shall establish safety protections and procedures relating to the Project and shall review such safety protections and procedures upon request of the Lenders. If considered necessary by the Lenders, the Borrower shall arrange for carrying out safety audit through a competent firm to be finalized in consultation with the Lenders Agent and shall comply with the recommendations set out in their report. ",Informative
"The Borrower shall furnish to the Lenders Agent within 30 (thirty) days at the end of the quarter in which the Loans are disbursed, a statement showing the manner in which the said monies have been utilised. 
 ",Financial
